sceneName,s1_start,s1_end,s1_url,cs2_path,cs2_time_min,cs2_time_max,num_matched_points
S1A_EW_GRDM_1SDH_20230618T121026_20230618T121126_049040_05E5AF_F47D,2023-06-18 12:10:26,2023-06-18 12:11:26,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230618T121026_20230618T121126_049040_05E5AF_F47D.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230618T121005_20230618T121421_E001.nc,2023-06-18 12:12:17.860691968,2023-06-18 12:12:36.749518976,22
S1A_EW_GRDM_1SDH_20230618T120922_20230618T121026_049040_05E5AF_821C,2023-06-18 12:09:22,2023-06-18 12:10:26,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230618T120922_20230618T121026_049040_05E5AF_821C.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230618T103239_20230618T103536_E001.nc,2023-06-18 10:34:13.819769088,2023-06-18 10:34:47.062483968,38
S1A_EW_GRDM_1SDH_20230617T144728_20230617T144811_049027_05E552_F861,2023-06-17 14:47:28,2023-06-17 14:48:11,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230617T144728_20230617T144811_049027_05E552_F861.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230617T143139_20230617T144244_E001.nc,2023-06-17 14:41:38.035472000,2023-06-17 14:42:23.886520064,52
S1A_EW_GRDM_1SDH_20230617T144628_20230617T144728_049027_05E552_6165,2023-06-17 14:46:28,2023-06-17 14:47:28,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230617T144628_20230617T144728_049027_05E552_6165.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230617T143139_20230617T144244_E001.nc,2023-06-17 14:42:24.785995008,2023-06-17 14:42:51.774296960,31
S1A_EW_GRDM_1SDH_20230617T144524_20230617T144628_049027_05E552_7DC4,2023-06-17 14:45:24,2023-06-17 14:46:28,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230617T144524_20230617T144628_049027_05E552_7DC4.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230617T130030_20230617T130425_E001.nc,2023-06-17 13:04:12.620285952,2023-06-17 13:04:56.739308928,50
S1A_EW_GRDM_1SDH_20230617T130747_20230617T130819_049026_05E54B_3EA0,2023-06-17 13:07:47,2023-06-17 13:08:19,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230617T130747_20230617T130819_049026_05E54B_3EA0.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230617T130030_20230617T130425_E001.nc,2023-06-17 13:03:36.617805952,2023-06-17 13:03:40.217473920,5
S1A_EW_GRDM_1SDH_20230617T130642_20230617T130747_049026_05E54B_A85D,2023-06-17 13:06:42,2023-06-17 13:07:47,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230617T130642_20230617T130747_049026_05E54B_A85D.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230617T112347_20230617T112601_E001.nc,2023-06-17 11:24:59.386865024,2023-06-17 11:25:38.054350976,44
S1A_EW_GRDM_1SDH_20230616T154303_20230616T154357_049013_05E4DE_1274,2023-06-16 15:43:03,2023-06-16 15:43:57,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230616T154303_20230616T154357_049013_05E4DE_1274.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T135052_20230616T135440_E001.nc,2023-06-16 13:54:58.198304000,2023-06-16 13:55:17.107576064,22
S1A_EW_GRDM_1SDH_20230616T140522_20230616T140622_049012_05E4D5_75E8,2023-06-16 14:05:22,2023-06-16 14:06:22,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230616T140522_20230616T140622_049012_05E4D5_75E8.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T135052_20230616T135440_E001.nc,2023-06-16 13:53:38.102221952,2023-06-16 13:54:37.492233984,67
S1A_EW_GRDM_1SDH_20230616T140418_20230616T140522_049012_05E4D5_1CE9,2023-06-16 14:04:18,2023-06-16 14:05:22,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230616T140418_20230616T140522_049012_05E4D5_1CE9.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230616T121210_20230616T121617_E001.nc,2023-06-16 12:15:42.583088000,2023-06-16 12:16:09.586361088,31
